,...1,valid,incent_heads,incent_guess,country_guess,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score
78,78,1,3,no,Russia,1.0,3.0,Turkey,False,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,90.0,Turkey,3.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
79,79,1,3,no,Japonya,1.0,3.0,Turkey,False,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,5.0,Turkey,1.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
80,80,1,5,yes,Türkiye,1.0,4.0,Turkey,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,90.0,Turkey,2.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
81,81,1,5,no,Çin,1.0,3.0,Turkey,True,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,Turkey,2.0,Turkey,1.0,1,1.0,1,0,1,,,,,,,,,,3
82,82,1,3,no,Birleşik Devletler,1.0,2.0,Turkey,True,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,82.0,Turkey,2.0,Turkey,0.0,1,0.0,1,0,0,,,,,,,,,,2
83,83,1,5,no,Türkiye,1.0,2.0,Turkey,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,Turkey,1.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
84,84,1,3,no,Birleşik Devletler,2.0,2.0,Turkey,False,4.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,50.0,Turkey,2.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
85,85,1,5,no,Brezilya,1.0,3.0,Turkey,True,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,70.0,Turkey,1.0,Turkey,1.0,1,1.0,1,1,1,,,,,,,,,,3
86,86,1,3,yes,Yunanistan,1.0,2.0,Turkey,False,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,90.0,Turkey,2.0,Turkey,1.0,0,1.0,1,0,1,,,,,,,,,,2
87,87,1,3,no,Russia,1.0,5.0,Turkey,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,29.0,Turkey,2.0,Turkey,1.0,1,1.0,1,0,1,,,,,,,,,,3
